state,total_bio_updates
Uttar Pradesh,9577735
Maharashtra,9226139
Madhya Pradesh,5923771
Bihar,4897587
Tamil Nadu,4698117
Rajasthan,3994955
Andhra Pradesh,3714592
Gujarat,3196514
Chhattisgarh,2648729
Karnataka,2635954
West Bengal,2524448
Odisha,2402827
Jharkhand,2026297
Punjab,1739671
Telangana,1737654
Haryana,1635454
Kerala,1609730
Delhi,1304362
Assam,982722
Jammu and Kashmir,791218
Uttarakhand,764763
Himachal Pradesh,396234
Tripura,292155
Manipur,282587
Mizoram,120329
Nagaland,109593
Meghalaya,87626
Chandigarh,74482
Arunachal Pradesh,72394
Goa,68397
Orissa,62083
Puducherry,42321
Pondicherry,27587
Dadra and Nagar Haveli,27235
Sikkim,22820
Andaman and Nicobar Islands,18314
Daman and Diu,6763
Ladakh,5763
Lakshadweep,4820
Dadra and Nagar Haveli and Daman and Diu,2532
Andaman & Nicobar Islands,2384
Daman & Diu,2185
Dadra & Nagar Haveli,553
Jammu & Kashmir,429
West Bangal,54
andhra pradesh,41
WEST BENGAL,37
ODISHA,34
West  Bengal,28
West bengal,20
Westbengal,19
odisha,16
WESTBENGAL,12
Chhatisgarh,5
Uttaranchal,2
Tamilnadu,1
west Bengal,1
